post_id,question_id,source,agent_version,question_type,question_title,timestamp,retrodict_date,probability,median,ci_lower,ci_upper,resolution,resolved,brier,log_score,abs_error,norm_error,within_ci,duration_seconds,cost_usd
39672,39049,retrodict,0.3.1,binary,Will the community prediction be higher than 28.90% on 2025-09-11 for the Metacu,20260211_025659,2025-09-05,0.4,,,,yes,True,0.360000,0.916291,,,,,
39672,39049,retrodict,0.3.1,binary,Will the community prediction be higher than 28.90% on 2025-09-11 for the Metacu,20260211_053810,2025-09-05,0.45,,,,yes,True,0.302500,0.798508,,,,,
39935,39478,retrodict,0.3.1,binary,Will the community prediction be higher than 91.00% on 2025-09-24 for the Metacu,20260211_025442,2025-09-15,0.5,,,,yes,True,0.250000,0.693147,,,,,
39935,39478,retrodict,0.3.1,binary,Will the community prediction be higher than 91.00% on 2025-09-24 for the Metacu,20260211_053642,2025-09-15,0.47,,,,yes,True,0.280900,0.755023,,,,,
39935,39478,retrodict,0.7.2,binary,Will the community prediction be higher than 91.00% on 2025-09-24 for the Metacu,20260213_051235,2025-09-15,0.25,,,,yes,True,0.562500,1.386294,,,,,
39935,39478,retrodict,0.7.3,binary,Will the community prediction be higher than 91.00% on 2025-09-24 for the Metacu,20260213_071538,2025-09-15,0.78,,,,yes,True,0.048400,0.248461,,,,,
39935,39478,retrodict,0.8.1,binary,Will the community prediction be higher than 91.00% on 2025-09-24 for the Metacu,20260213_074836,2025-09-15,0.28,,,,yes,True,0.518400,1.272966,,,,,
39935,39478,retrodict,0.8.1,binary,Will the community prediction be higher than 91.00% on 2025-09-24 for the Metacu,20260213_102956,2025-09-15,0.3,,,,yes,True,0.490000,1.203973,,,,,
39935,39478,retrodict,0.8.1,binary,Will the community prediction be higher than 91.00% on 2025-09-24 for the Metacu,20260213_115127,2025-09-15,0.62,,,,yes,True,0.144400,0.478036,,,,,
39935,39478,retrodict,0.9.1,binary,Will the community prediction be higher than 91.00% on 2025-09-24 for the Metacu,20260213_132113,2025-09-15,0.25,,,,yes,True,0.562500,1.386294,,,,,
39935,39478,retrodict,0.10.0,binary,Will the community prediction be higher than 91.00% on 2025-09-24 for the Metacu,20260213_211013,2025-09-15,0.4,,,,yes,True,0.360000,0.916291,,,,,
39935,39478,retrodict,1.0.0,binary,Will the community prediction be higher than 91.00% on 2025-09-24 for the Metacu,20260214_065251,2025-09-15,0.37,,,,yes,True,0.396900,0.994252,,,,,
39935,39478,retrodict,1.1.0,binary,Will the community prediction be higher than 91.00% on 2025-09-24 for the Metacu,20260214_080704,2025-09-15,0.4,,,,yes,True,0.360000,0.916291,,,,,
40167,39703,retrodict,0.3.1,binary,Will the community prediction be higher than 5.00% on 2025-10-18 for the Metacul,20260211_030127,2025-10-01,0.45,,,,no,True,0.202500,0.597837,,,,,
40167,39703,retrodict,0.3.1,binary,Will the community prediction be higher than 5.00% on 2025-10-18 for the Metacul,20260211_054301,2025-10-01,0.45,,,,no,True,0.202500,0.597837,,,,,
